CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
canton;Urban;;;;;;;;x
annecy;Urban;;;;;;;;x
kassel;Urban;;;;;;;;x
nagasaki;Urban;;;;;;;;x
koblenz;Urban;;;;;;;;x
rouen;Urban;;;;;;;;x
lubeck;Urban;;;;;;;;x
pozan;Urban;;;;;;;;x
braunschweig;Urban;;;;;;;;x
linz;Urban;;;;;;;;x
catania;Urban;;;;;;;;x
chemnitz;Urban;;;;;;;;x
stjohn;Taiga;;;;;;;;x
berlin;Urban;;;;;;;;x
paris;Urban;;;;;;;;x
london;Urban;;;;;;;;x
stpetersburg;Urban;;;;;;;;x
vienna;Urban;;;;;;;;x
newyork;Urban;;;;;;;;x
rome;Urban;;;;;;;;x
madrid;Urban;;;;;;;;x
stockholm;Urban;;;;;;;;x
istanbul;Urban;;;;;;;;x
warsaw;Urban;;;;;;;;x
athens;Urban;;;;;;;;x
lisbon;Urban;;;;;;;;x
amsterdam;Urban;;;;;;;;x
brussels;Urban;;;;;;;;x
copenhagen;Urban;;;;;;;;x
oslo;Urban;;;;;;;;x
helsinki;Urban;;;;;;;;x
munich;Urban;;;;;;;;x
hanover;Urban;;;;;;;;x
dublin;Urban;;;;;;;;x
belgrade;Urban;;;;;;;;x
turin;Urban;;;;;;;;x
naples;Urban;;;;;;;;x
bern;Urban;;;;;;;;x
pest;Urban;;;;;;;;x
bukarest;Urban;;;;;;;;x
cairo;Urban;;;;;;;;x
prague;Urban;;;;;;;;x
cologne;Urban;;;;;;;;x
mexicocity;Urban;;;;;;;;x
barcelona;Urban;;;;;;;;x
edinburgh;Urban;;;;;;;;x
#edo;Urban;;;;;;;;x
hanseong;Urban;;;;;;;;x
peking;Urban;;;;;;;;x
shanghai;Urban;;;;;;;;x
hongkong;Urban;;;;;;;;x
macao;Urban;;;;;;;;x
kiev;Urban;;;;;;;;x
riga;Urban;;;;;;;;x
moscow;Urban;;;;;;;;x
#minsk;Urban;;;;;;;;x
lyon;Urban;;;;;;;;x
dc;Urban;;;;;;;;x
chicago;Urban;;;;;;;;x
sanfrancisco;Urban;;;;;;;;x
hamburg;Urban;;;;;;;;x
dresden;Urban;;;;;;;;x
boston;Urban;;;;;;;;x
sofia;Urban;;;;;;;;x
tehran;Urban;;;;;;;;x
rennes;Urban;;;;;;;;x
marseille;Urban;;;;;;;;x
bordeaux;Urban;;;;;;;;x
toulouse;Urban;;;;;;;;x
bilbao;Urban;;;;;;;;x
milan;Urban;;;;;;;;x
luxemburg;Urban;;;;;;;;x
#liechtenstein;Urban;;;;;;;;x
venice;Urban;;;;;;;;x
zagreb;Urban;;;;;;;;x
#salonika;Urban;;;;;;;;x
ankara;Urban;;;;;;;;x
tblisi;Urban;;;;;;;;x
erivan;Urban;;;;;;;;x
baku;Urban;;;;;;;;x
jerusalem;Urban;;;;;;;;x
baghdad;Urban;;;;;;;;x
damascus;Urban;;;;;;;;x
lvov;Urban;;;;;;;;x
krakow;Urban;;;;;;;;x
karlsruhe;Urban;;;;;;;;x
stuttgart;Urban;;;;;;;;x
konigsberg;Urban;;;;;;;;x
dusseldorf;Urban;;;;;;;;x
dortmund;Urban;;;;;;;;x
magdeburg;Urban;;;;;;;;x
kiel;Urban;;;;;;;;x
stettin;Urban;;;;;;;;x
frankfurt;Urban;;;;;;;;x
nuremberg;Urban;;;;;;;;x
leipzig;Urban;;;;;;;;x
breslau;Urban;;;;;;;;x
#andorra;Urban;;;;;;;;x
seville;Urban;;;;;;;;x
fez;Urban;;;;;;;;x
gibraltar;The Rock;;;;;;;;x
ceuta;Urban;;;;;;;;x
#melilla;Urban;;;;;;;;x
tangier;Urban;;;;;;;;x
algiers;Urban;;;;;;;;x
zurich;Urban;;;;;;;;x
strasburg;Urban;;;;;;;;x
liverpool;Urban;;;;;;;;x
manchester;Urban;;;;;;;;x
cardiff;Urban;;;;;;;;x
birmingham;Urban;;;;;;;;x
glasgow;Urban;;;;;;;;x
southampton;Urban;;;;;;;;x
newcastle;Urban;;;;;;;;x
sheffield;Urban;;;;;;;;x
leeds;Urban;;;;;;;;x
bristol;Urban;;;;;;;;x
belfast;Urban;;;;;;;;x
goteborg;Urban;;;;;;;;x
vilnius;Urban;;;;;;;;x
reval;Urban;;;;;;;;x
montreal;Urban;;;;;;;;x
ottawa;Urban;;;;;;;;x
vancouver;Urban;;;;;;;;x
losangeles;Urban;;;;;;;;x
atlanta;Urban;;;;;;;;x
philadelphia;Urban;;;;;;;;x
cleveland;Urban;;;;;;;;x
detroit;Urban;;;;;;;;x
pittsburgh;Urban;;;;;;;;x
richmond;Urban;;;;;;;;x
neworleans;Urban;;;;;;;;x
austin;Urban;;;;;;;;x
caen;Urban;;;;;;;;x
lille;Urban;;;;;;;;x
toronto;Urban;;;;;;;;x
bogota;Urban;;;;;;;;x
caracas;Urban;;;;;;;;x
rio;Urban;;;;;;;;x
saopaulo;Urban;;;;;;;;x
montevideo;Urban;;;;;;;;x
buenosaires;Urban;;;;;;;;x
santiago;Urban;;;;;;;;x
#asuncion;Urban;;;;;;;;x
#lima;Urban;;;;;;;;x
quito;Urban;;;;;;;;x
#guantanamo;Urban;;;;;;;;x
lapaz;Urban;;;;;;;;x
havana;Urban;;;;;;;;x
capetown;Urban;;;;;;;;x
zanzibar;Urban;;;;;;;;x
calcutta;Urban;;;;;;;;x
pondicherry;Urban;;;;;;;;x
bombay;Urban;;;;;;;;x
delhi;Urban;;;;;;;;x
madras;Urban;;;;;;;;x
goa;Urban;;;;;;;;x
lahore;Urban;;;;;;;;x
bangkok;Jungle;;;;;;;;x
saigon;Urban;;;;;;;;x
hue;Urban;;;;;;;;x
singapore;Urban;;;;;;;;x
batavia;Urban;;;;;;;;x
sydney;Urban;;;;;;;;x
melbourne;Urban;;;;;;;;x
perth;Urban;;;;;;;;x
auckland;Urban;;;;;;;;x
manila;Jungle;;;;;;;;x
kwangchowan;Urban;;;;;;;;x
hainan;Urban;;;;;;;;x
ningbo;Urban;;;;;;;;x
qingdao;Urban;;;;;;;;x
weihaiwei;Urban;;;;;;;;x
oldtianjin;Urban;;;;;;;;x
portarthur;Urban;;;;;;;;x
kyoto;Urban;;;;;;;;x
tashkent;Urban;;;;;;;;x
samarkand;Dry Urban;;;;;;;;x
isfahan;Urban;;;;;;;;x
alexandria;Urban;;;;;;;;x
tirana;Urban;;;;;;;;x
ljubljana;Urban;;;;;;;;x
bratislava;Urban;;;;;;;;x
#cluj;Urban;;;;;;;;x
#cetinje;Urban;;;;;;;;x
malta;Malta;;;;;;;;x
tunis;Urban;;;;;;;;x
florence;Urban;;;;;;;;x
danzig;Urban;;;;;;;;x
nanjing;Urban;;;;;;;;x
mukden;Urban;;;;;;;;x
yokohama;Urban;;;;;;;;x
kobe;Urban;;;;;;;;x
osaka;Urban;;;;;;;;x
#wuchang;Urban;;;;;;;;x
xian;Urban;;;;;;;;x
pyongyang;Urban;;;;;;;;x
pusan;Urban;;;;;;;;x
mecca;Urban;;;;;;;;x
aden;Urban;;;;;;;;x
#muscat;Urban;;;;;;;;x
monaco;Urban;;;;;;;;x
lodz;Urban;;;;;;;;x
genoa;Urban;;;;;;;;x
odessa;Urban;;;;;;;;x
rostov;Urban;;;;;;;;x
vladivostok;Urban;;;;;;;;x
sevastopol;Urban;;;;;;;;x
nikolaev;Urban;;;;;;;;x
kerch;Urban;;;;;;;;x
kharkov;Urban;;;;;;;;x
saratov;Urban;;;;;;;;x
#chisinau;Urban;;;;;;;;x
kazan;Urban;;;;;;;;x
antwerp;Urban;;;;;;;;x
ekaterinburg;Urban;;;;;;;;x
irkutsk;Urban;;;;;;;;x
omsk;Urban;;;;;;;;x
sarajevo;Urban;;;;;;;;x
timbuktu;Urban;;;;;;;;x
palermo;Urban;;;;;;;;x
lhasa;Urban;;;;;;;;x
#xining;Urban;;;;;;;;x
kashgar;Desert;;;;;;;;x
agra;Urban;;;;;;;;x
katmandu;Urban;;;;;;;;x
colombo;Urban;;;;;;;;x
gonder;Urban;;;;;;;;x
capecoast;Urban;;;;;;;;x
grandbassam;Urban;;;;;;;;x
monrovia;Urban;;;;;;;;x
stlouis;Urban;;;;;;;;x
#bissau;Urban;;;;;;;;x
#lagos;Urban;;;;;;;;x
suez;Urban;;;;;;;;x
valencia;Urban;;;;;;;;x
rotterdam;Urban;;;;;;;;x
hyderabad;Urban;;;;;;;;x
nagpur;Urban;;;;;;;;x
jaipur;Urban;;;;;;;;x
karachi;Urban;;;;;;;;x
hanoi;Urban;;;;;;;;x
dunkirk;Urban;;;;;;;;x
brest;Urban;;;;;;;;x
toulon;Urban;;;;;;;;x
larochelle;Urban;;;;;;;;x
hanoi;Urban;;;;;;;;x
trieste;Urban;;;;;;;;x
pola;Urban;;;;;;;;x
wilhelmshaven;Helgoland;;;;;;;;x
nice;Urban;;;;;;;;x
quebec;Urban;;;;;;;;x
fort_william;Urban;;;;;;;;x
panama;Urban;;;;;;;;x
tripoli;Urban;;;;;;;;x
essen;Urban;;;;;;;;x
zadar;Urban;;;;;;;;x
dubrovnik;Urban;;;;;;;;x
sanmarino;Urban;;;;;;;;x
plymouth;Urban;;;;;;;;x
portsmouth;Urban;;;;;;;;x
liege;Urban;;;;;;;;x
namur;Urban;;;;;;;;x
