;;;;*;;*;*;;;;;;;x;;;;
helgoland_treaty_title;Helgoland Treaty;;;;;;;;;;;;;;
helgoland_treaty_desc;We should  do the Helgoland Treaty;;;;;;;;;;;;;;
an_mein_volk_title; An mein Volk;;;;;;;;;;;;;;
an_mein_volk_desc;The proclamation An Mein Volk was issued by King Frederick William III of Prussia on 17 March 1813 in Breslau, to adress his subjects for the fight against the french occopuier. With the Unification of all Prussians and Germans, Napoleon was finally defeated at the Battle of Leipzig, also known as the Battle of Nations. Never again we will accept the french subjugation and never before was Germany defeated when it was united. Pro gloria et patria!;;;;;;;;;;;;;;
An_mein_Volk;An mein Volk;;;;;;;;;;;;;;
An_mein_Volk_desc;We have mobilized our people.;;;;;;;;;;;;;;
schlieffen_plan_title;The Schlieffen-Plan;;;;;;;;;;;;;;
schlieffen_plan_desc;Field Marshal Alfred von Schlieffen was Chief of the General Staff of the German Army from 1891 to 1906. In 1905 and 1906, Schlieffen devised an army deployment plan for a war-winning offensive against the French Third Republic, in case of a two front war with russia. Now that his scenario has become reality, we know exactly what to do and will not hesitate, to take action. Gott mit uns!;;;;;;;;;;;;;;
schlieffens_plan;Schlieffen-Plan;;;;;;;;;;;;;;
schlieffens_plan_desc;We have mobilized our armies and are ready to strike on the enemy!;;;;;;;;;;;;;;
das_buergerliche_gesetzbuch_title;Das Bürgerliche Gesetzbuch;;;;;;;;;;;;;;
das_buergerliche_gesetzbuch_desc;We should introduce it.;;;;;;;;;;;;;;
appoint_von_bismarck_title;Appoint Otto von Bismarck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appoint_von_bismarck_desc;Our nation needs a great statesman as its Chancellor, and we have just the man. Otto von Bismarck is currently the country's First Minister, but appointed as the leader of our nation he could see it transformed on the world stage.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
otto_von_bismarck;Otto von Bismarck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
otto_von_bismarck_desc;The current Chancellor of our nation, von Bismarck is a remarkable statesman… perhaps one of the finest our nation will ever know.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
german_colonial_society;German Colonial Society;;;;;;;;;;;;;;
german_colonial_society_desc;We have expanded the German Colonial Society;;;;;;;;;;;;;;
